config_id,algorithm,seed,trial,real_step,chosen_action,planning_node_count,planning_novelty_term_sum,planning_epistemic_term_sum,planning_extrinsic_term_sum,planning_future_term_sum,planning_novelty_term_mean,planning_epistemic_term_mean,planning_extrinsic_term_mean,param_update_kl_step,search_depth_so_far
6bd14747,SI,1,1,1,4,153,551.462521695913,0,1390,1231.1259945264,3.60433020716283,0,9.08496732026144,NaN,NaN
6bd14747,SI,1,1,2,4,1,0,0,0,15.644540641933,0,0,0,0.0025590042380037,NaN
6bd14747,SI,1,1,3,1,1,0,0,0,13.7013008682958,0,0,0,0.00254794691286234,NaN
6bd14747,SI,1,1,4,4,25,57.4265564530403,0,275.478260869565,148.743930657121,2.29706225812161,0,11.0191304347826,0.00114091236982563,NaN
6bd14747,SI,1,1,5,3,25,62.5655911903623,0,453.04347826087,195.91544661939,2.50262364761449,0,18.1217391304348,0.00252611646831545,NaN
6bd14747,SI,1,1,6,3,29,79.2671324851558,0,760.869565217392,243.087501196756,2.73334939603985,0,26.2368815592204,0.00251534092438141,NaN
6bd14747,SI,1,1,7,5,29,78.9867607748001,0,934.347826086956,290.260088916647,2.72368140602759,0,32.2188905547226,0.00250465691731367,NaN
6bd14747,SI,1,1,8,2,29,78.7083550815454,0,1107.82608695652,337.43320437948,2.71408120970846,0,38.2008995502249,0.00249406328568139,NaN
6bd14747,SI,1,1,9,5,217,618.347370622287,0,7320.5652173913,4849.95075313554,2.84952705355893,0,33.7353235824484,0.00248355888762073,NaN
6bd14747,SI,1,1,10,3,253,924.488052466304,14.2665987824931,10646.0869565217,10795.3705250561,3.65410297417512,0.0563897185078778,42.0793950850662,0.00247314260042127,NaN
6bd14747,SI,1,1,11,3,319,1115.52901030996,5.54517744447956,13743.9130434783,14099.7817118029,3.49695614517227,0.0173830013933529,43.0843669074554,0.00246281332012875,NaN
6bd14747,SI,1,1,12,3,325,1181.26086983392,11.0903548889591,15440.8695652174,17705.6736961639,3.63464883025821,0.034124168889105,47.5103678929766,0.00245256996115396,NaN
6bd14747,SI,1,1,13,3,189,696.960228193031,11.8844158623426,11202.6086956522,15795.6612406529,3.68762025498958,0.062880507208162,59.2730618817575,0.00244241145589157,NaN
6bd14747,SI,1,1,14,4,381,1308.3084335754,0,21504.347826087,27319.3027529796,3.43388040308503,0,56.4418578112519,0.00243233675434964,NaN
6bd14747,SI,1,1,15,2,117,391.089259259001,0,8016.08695652174,11426.7335790062,3.34264324152992,0,68.513563730955,0.00242234482379157,NaN
6bd14747,SI,1,1,16,2,214,652.664403162394,5.54517744447956,14585.652173913,20344.5541734611,3.04983365963736,0.0259120441330821,68.1572531491264,0.00241243464837535,NaN
6bd14747,SI,1,1,17,4,165,453.76296932678,0,12029.1304347826,16512.9329000813,2.75007860198048,0,72.9038208168643,0.00240260522881719,NaN
6bd14747,SI,1,1,18,3,121,346.364394955566,0,10437.3913043478,10603.7606880029,2.8625156607898,0,86.2594322673374,0.00239285558205136,NaN
6bd14747,SI,1,1,19,3,61,170.128137376394,0,6028.69565217391,3967.18105100521,2.78898585862941,0,98.8310762651461,0.00238318474090312,NaN
6bd14747,SI,1,1,20,3,21,53.2346251862328,0,2252.17391304348,100.394431447376,2.53498215172537,0,107.246376811594,0.00237359175377031,NaN
6bd14747,SI,1,1,21,3,21,57.9660916201015,0,-77165.2173913044,-2587.61340012018,2.76029007714769,0,-3674.53416149068,0.0023640756843091,NaN
6bd14747,SI,1,2,1,1,182,508.169647115518,0,1312.26086956522,1243.15445828032,2.79214091821713,0,7.21022455805064,NaN,NaN
6bd14747,SI,1,2,2,3,1,0,0,0,15.3357886448234,0,0,0,0.00235463561113123,NaN
6bd14747,SI,1,2,3,2,1,0,0,0,13.4988410928655,0,0,0,0.00234527062750595,NaN
6bd14747,SI,1,2,4,5,21,40.1215305887575,0,195.478260869565,147.270684007999,1.91054907565512,0,9.30848861283644,0.0010508956294261,NaN
6bd14747,SI,1,2,5,3,25,58.3727095777259,0,453.04347826087,194.452010242657,2.33490838310903,0,18.1217391304348,0.00232676237354028,NaN
6bd14747,SI,1,2,6,5,29,69.1720139749072,0,706.086956521739,241.633778251455,2.3852418612037,0,24.3478260869565,0.00231761736044616,NaN
6bd14747,SI,1,2,7,2,29,73.7665490395444,0,934.347826086956,288.815983818625,2.54367410481188,0,32.2188905547226,0.0023085439508511,NaN
6bd14747,SI,1,2,8,5,25,55.4601269531912,0,834.782608695652,335.998622781349,2.21840507812765,0,33.3913043478261,0.0022995413070901,NaN
6bd14747,SI,1,2,9,3,203,645.516974412947,0,7720.86956521739,4598.60660041809,3.17988657346279,0,38.0338402227458,0.002290608604516,NaN
6bd14747,SI,1,2,10,3,247,771.655139858751,5.54517744447956,10351.3043478261,8918.84180099383,3.12410987797065,0.0224501111112533,41.9081147685267,0.00228174503124215,NaN
6bd14747,SI,1,2,11,3,160,453.717707412635,0,7073.30434782609,7939.57112881099,2.83573567132897,0,44.208152173913,0.0022729497879006,NaN
6bd14747,SI,1,2,12,3,347,1099.54768436281,11.0903548889591,16248.0434782609,16790.5666136836,3.16872531516661,0.0319606769134269,46.8243327903771,0.00226422208740062,NaN
6bd14747,SI,1,2,13,4,228,737.893042013101,5.54517744447956,12357.6086956522,13866.5950056664,3.23637299128553,0.0243209537038577,54.2000381388253,0.00225556115469234,NaN
6bd14747,SI,1,2,14,2,247,784.912620994529,16.6355323334387,14252.6086956522,18343.1205574813,3.17778389066611,0.0673503333337599,57.7028692131667,0.00224696622654019,NaN
6bd14747,SI,1,2,15,2,188,460.191294757387,0,10233.2173913043,15035.5249583293,2.44782603594355,0,54.432007400555,0.00223843655129586,NaN
6bd14747,SI,1,2,16,4,217,533.00239663885,0,13994.5217391304,21233.7688982318,2.45623224257534,0,64.4908835904629,0.00222997138868149,NaN
6bd14747,SI,1,2,17,3,133,291.358079679109,0,8731.91304347826,13468.54622704,2.19066225322638,0,65.6534815299118,0.00222157000957402,NaN
6bd14747,SI,1,2,18,3,105,296.583698145837,11.0903548889591,9200.43478260869,10934.3732723027,2.82460664900797,0.105622427513896,87.6231884057971,0.00221323169579593,NaN
6bd14747,SI,1,2,19,3,69,198.775259755014,11.0903548889591,6771.73913043478,3500.70771287766,2.8808008660147,0.160729780999408,98.1411468178954,0.00220495573991209,NaN
6bd14747,SI,1,2,20,3,21,54.5030340421465,0,2434.78260869565,100.246960970638,2.59538257343555,0,115.942028985507,0.00219674144502849,NaN
6bd14747,SI,1,2,21,3,21,54.332143139588,0,-77165.2173913044,-2587.75993714572,2.58724491140895,0,-3674.53416149068,0.0021885881245954,NaN
6bd14747,SI,1,3,1,3,234,495.496660994446,5.54517744447956,1170.65217391304,1159.67762414154,2.11750709826686,0.0236973395063229,5.00278706800446,NaN,NaN
6bd14747,SI,1,3,2,3,1,0,0,0,15.0649620131906,0,0,0,0.000981219375296225,NaN
6bd14747,SI,1,3,3,3,1,0,0,0,13.3212845127328,0,0,0,0.00217246171147242,NaN
6bd14747,SI,1,3,4,3,29,67.6031794358644,5.54517744447956,340.869565217391,165.66295426506,2.33114411847808,0.191213015326881,11.7541229385307,0.00216448729571293,NaN
6bd14747,SI,1,3,5,1,14,42.8218759572403,1.78663719011286,220.54347826087,298.327205150562,3.05870542551716,0.127616942150918,15.7531055900621,0.0021565712079035,NaN
6bd14747,SI,1,3,6,3,71,191.857676217978,2.6496066032326,1558.96471846044,1136.36679358403,2.70222079180251,0.037318402862431,21.9572495557809,0.00256510769313852,NaN
6bd14747,SI,1,3,7,3,14,24.2640777739188,0.640821314647211,189.943750864232,266.925485046111,1.73314841242277,0.0457729510462293,13.5674107760166,0.00466069783152843,NaN
6bd14747,SI,1,3,8,3,14,25.9413018510662,0.301510485477441,259.94660967031,306.89578881582,1.85295013221902,0.0215364632483887,18.5676149764507,0.00451404830723888,NaN
6bd14747,SI,1,3,9,3,14,27.4176801917949,0.29054545898875,331.3603686607,347.445429057917,1.95840572798535,0.020753247070625,23.6685977614785,0.00443092542960054,NaN
6bd14747,SI,1,3,10,1,14,52.5701868430987,0.325172722234606,297.125611232063,309.593702792071,3.75501334593562,0.0232266230167576,21.2232579451474,0.00446786580901419,NaN
6bd14747,SI,1,3,11,3,14,46.7769863929762,0.389605109757326,262.720533458912,290.420190183686,3.34121331378402,0.0278289364112376,18.7657523899223,0.00117800146223202,NaN
6bd14747,SI,1,3,12,5,1027,3674.59950329069,10.9569531400165,36379.9948935029,19653.8079919829,3.57799367409025,0.0106688930282537,35.4235588057477,0.00429253588876272,NaN
6bd14747,SI,1,3,13,2,369,1300.93171946214,6.17962647152259,14957.2376802789,12979.6854232673,3.52556021534456,0.0167469552073783,40.5345194587504,0.0042750935854611,NaN
6bd14747,SI,1,3,14,5,426,1460.73900320771,3.90053776016683,18714.8966677848,16022.2603692327,3.42896479626223,0.00915619192527426,43.9316823187436,0.00425908584447799,NaN
6bd14747,SI,1,3,15,3,175,537.902452875417,7.48797854248645,7272.90960831718,6670.8423537505,3.07372830214524,0.0427884488142083,41.5594834760982,0.00424369802118144,NaN
